日付時刻,MACアドレス,ユーザーネーム,赤色情報,黄色情報,緑色情報,青色情報,白色情報,ブザー情報,WDT監視情報
2019/12/18 20:36:35,743A65FFFE4A556B,743A65FFFE4A556B,0,0,0,0,0,0,9
2019/12/18 20:36:47,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 20:36:48,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:37:01,743A65FFFE4A54FD,743A65FFFE4A54FD,0,0,1,0,0,0,9
2019/12/18 20:37:05,743A65FFFE4A54FD,743A65FFFE4A54FD,0,0,2,0,0,0,9
2019/12/18 20:37:08,743A65FFFE4A54FD,743A65FFFE4A54FD,0,0,0,0,0,0,9
2019/12/18 20:37:18,743A65FFFE4A54FD,743A65FFFE4A54FD,0,0,1,0,0,0,9
2019/12/18 20:37:35,743A65FFFE4A556B,743A65FFFE4A556B,0,0,1,0,0,0,9
2019/12/18 20:37:42,743A65FFFE4A54EE,743A65FFFE4A54EE,0,2,1,0,0,0,9
2019/12/18 20:37:43,743A65FFFE4A54EE,743A65FFFE4A54EE,0,2,0,0,0,0,9
2019/12/18 20:37:43,743A65FFFE4A54EE,743A65FFFE4A54EE,0,0,0,0,0,0,9
2019/12/18 20:38:35,743A65FFFE4A54EE,743A65FFFE4A54EE,0,0,1,0,0,0,9
2019/12/18 20:38:44,743A65FFFE4A5512,743A65FFFE4A5512,0,1,1,0,0,0,9
2019/12/18 20:38:44,743A65FFFE4A5512,743A65FFFE4A5512,0,1,0,0,0,0,9
2019/12/18 20:38:50,743A65FFFE4A5512,743A65FFFE4A5512,0,0,0,0,0,0,9
2019/12/18 20:39:33,743A65FFFE4A5512,743A65FFFE4A5512,0,0,1,0,0,0,9
2019/12/18 20:40:01,743A65FFFE4A555B,743A65FFFE4A555B,0,2,1,0,0,0,9
2019/12/18 20:40:02,743A65FFFE4A555B,743A65FFFE4A555B,0,2,0,0,0,0,9
2019/12/18 20:40:12,743A65FFFE4A555B,743A65FFFE4A555B,0,0,0,0,0,0,9
2019/12/18 20:40:19,743A65FFFE4A5572,743A65FFFE4A5572,0,1,1,0,0,0,9
2019/12/18 20:40:19,743A65FFFE4A5572,743A65FFFE4A5572,0,1,0,0,0,0,9
2019/12/18 20:40:29,743A65FFFE4A5572,743A65FFFE4A5572,0,0,0,0,0,0,9
2019/12/18 20:41:02,743A65FFFE4A5572,743A65FFFE4A5572,0,0,1,0,0,0,9
2019/12/18 20:41:13,743A65FFFE4A5510,743A65FFFE4A5510,0,1,1,0,0,0,9
2019/12/18 20:41:13,743A65FFFE4A5510,743A65FFFE4A5510,0,1,0,0,0,0,9
2019/12/18 20:41:22,743A65FFFE4A54ED,743A65FFFE4A54ED,0,2,1,0,0,0,9
2019/12/18 20:41:23,743A65FFFE4A54ED,743A65FFFE4A54ED,0,2,0,0,0,0,9
2019/12/18 20:41:24,743A65FFFE4A54ED,743A65FFFE4A54ED,0,0,0,0,0,0,9
2019/12/18 20:41:28,743A65FFFE4A5510,743A65FFFE4A5510,0,0,0,0,0,0,9
2019/12/18 20:42:10,743A65FFFE4A556C,743A65FFFE4A556C,0,2,1,0,0,0,9
2019/12/18 20:42:12,743A65FFFE4A556C,743A65FFFE4A556C,0,2,0,0,0,0,9
2019/12/18 20:42:12,743A65FFFE4A556C,743A65FFFE4A556C,0,0,0,0,0,0,9
2019/12/18 20:42:29,743A65FFFE4A5510,743A65FFFE4A5510,0,0,1,0,0,0,9
2019/12/18 20:43:08,743A65FFFE4A550D,743A65FFFE4A550D,0,1,1,0,0,0,9
2019/12/18 20:43:08,743A65FFFE4A550D,743A65FFFE4A550D,0,1,0,0,0,0,9
2019/12/18 20:43:16,743A65FFFE4A550D,743A65FFFE4A550D,0,0,0,0,0,0,9
2019/12/18 20:43:20,743A65FFFE4A555B,743A65FFFE4A555B,0,0,1,0,0,0,9
2019/12/18 20:43:26,743A65FFFE4A54ED,743A65FFFE4A54ED,0,0,1,0,0,0,9
2019/12/18 20:43:29,743A65FFFE4A54E8,743A65FFFE4A54E8,0,1,1,0,0,0,9
2019/12/18 20:43:30,743A65FFFE4A54E8,743A65FFFE4A54E8,0,1,0,0,0,0,9
2019/12/18 20:43:38,743A65FFFE4A54E8,743A65FFFE4A54E8,0,0,0,0,0,0,9
2019/12/18 20:44:03,743A65FFFE4A550D,743A65FFFE4A550D,0,0,1,0,0,0,9
2019/12/18 20:44:14,743A65FFFE4A54E8,743A65FFFE4A54E8,0,0,1,0,0,0,9
2019/12/18 20:44:55,743A65FFFE4A556C,743A65FFFE4A556C,0,0,1,0,0,0,9
2019/12/18 20:44:59,743A65FFFE4A556C,743A65FFFE4A556C,0,0,0,0,0,0,9
2019/12/18 20:45:05,743A65FFFE4A556C,743A65FFFE4A556C,0,0,1,0,0,0,9
2019/12/18 20:45:45,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 20:45:46,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:45:59,743A65FFFE4A54EA,743A65FFFE4A54EA,0,1,1,0,0,0,9
2019/12/18 20:45:59,743A65FFFE4A54EA,743A65FFFE4A54EA,0,1,0,0,0,0,9
2019/12/18 20:46:07,743A65FFFE4A54EA,743A65FFFE4A54EA,0,0,0,0,0,0,9
2019/12/18 20:46:19,743A65FFFE4A5571,743A65FFFE4A5571,0,1,1,0,0,0,9
2019/12/18 20:46:19,743A65FFFE4A5571,743A65FFFE4A5571,0,1,0,0,0,0,9
2019/12/18 20:46:33,743A65FFFE4A5547,743A65FFFE4A5547,0,2,1,0,0,0,9
2019/12/18 20:46:34,743A65FFFE4A5547,743A65FFFE4A5547,0,2,0,0,0,0,9
2019/12/18 20:46:39,743A65FFFE4A550E,743A65FFFE4A550E,0,0,0,0,0,0,9
2019/12/18 20:46:57,743A65FFFE4A5571,743A65FFFE4A5571,0,0,0,0,0,0,9
2019/12/18 20:47:03,743A65FFFE4A54EA,743A65FFFE4A54EA,0,0,1,0,0,0,9
2019/12/18 20:47:47,743A65FFFE4A5571,743A65FFFE4A5571,0,0,1,0,0,0,9
2019/12/18 20:48:01,743A65FFFE4A550E,743A65FFFE4A550E,0,2,0,0,0,0,9
2019/12/18 20:48:02,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 20:48:03,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:48:21,743A65FFFE4A5547,743A65FFFE4A5547,0,0,0,0,0,0,9
2019/12/18 20:48:23,743A65FFFE4A5575,743A65FFFE4A5575,0,2,1,0,0,0,9
2019/12/18 20:48:24,743A65FFFE4A5575,743A65FFFE4A5575,0,2,0,0,0,0,9
2019/12/18 20:48:25,743A65FFFE4A5575,743A65FFFE4A5575,0,0,0,0,0,0,9
2019/12/18 20:48:50,743A65FFFE4A550E,743A65FFFE4A550E,0,1,1,0,0,0,9
2019/12/18 20:48:52,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:49:06,743A65FFFE4A5575,743A65FFFE4A5575,0,0,1,0,0,0,9
2019/12/18 20:50:22,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 20:50:23,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:50:36,743A65FFFE4A5547,743A65FFFE4A5547,0,0,1,0,0,0,9
2019/12/18 20:51:41,743A65FFFE4A5577,743A65FFFE4A5577,0,1,1,0,0,0,9
2019/12/18 20:51:41,743A65FFFE4A5577,743A65FFFE4A5577,0,1,0,0,0,0,9
2019/12/18 20:51:46,743A65FFFE4A5577,743A65FFFE4A5577,0,0,0,0,0,0,9
2019/12/18 20:51:59,743A65FFFE4A54E4,743A65FFFE4A54E4,0,2,0,0,0,0,9
2019/12/18 20:52:01,743A65FFFE4A54E4,743A65FFFE4A54E4,0,0,0,0,0,0,9
2019/12/18 20:52:27,743A65FFFE4A5577,743A65FFFE4A5577,0,0,1,0,0,0,9
2019/12/18 20:52:47,743A65FFFE4A54E4,743A65FFFE4A54E4,0,0,1,0,0,0,9
2019/12/18 20:52:56,743A65FFFE4A5572,743A65FFFE4A5572,0,1,1,0,0,0,9
2019/12/18 20:52:56,743A65FFFE4A5572,743A65FFFE4A5572,0,1,0,0,0,0,9
2019/12/18 20:53:03,743A65FFFE4A5572,743A65FFFE4A5572,0,0,0,0,0,0,9
2019/12/18 20:53:14,743A65FFFE4A556C,743A65FFFE4A556C,0,2,1,0,0,0,9
2019/12/18 20:53:15,743A65FFFE4A556C,743A65FFFE4A556C,0,2,0,0,0,0,9
2019/12/18 20:53:16,743A65FFFE4A556C,743A65FFFE4A556C,0,0,0,0,0,0,9
2019/12/18 20:53:25,743A65FFFE4A556C,743A65FFFE4A556C,0,0,1,0,0,0,9
2019/12/18 20:53:40,743A65FFFE4A5572,743A65FFFE4A5572,0,0,1,0,0,0,9
2019/12/18 20:54:29,743A65FFFE4A5511,743A65FFFE4A5511,0,1,0,0,0,0,9
2019/12/18 20:54:34,743A65FFFE4A5511,743A65FFFE4A5511,0,0,0,0,0,0,9
2019/12/18 20:54:46,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 20:54:47,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:55:32,743A65FFFE4A5511,743A65FFFE4A5511,0,0,1,0,0,0,9
2019/12/18 20:57:33,743A65FFFE4A550E,743A65FFFE4A550E,0,2,1,0,0,0,9
2019/12/18 20:57:35,743A65FFFE4A550E,743A65FFFE4A550E,0,0,1,0,0,0,9
2019/12/18 20:57:35,743A65FFFE4A5506,743A65FFFE4A5506,0,2,1,0,0,0,9
2019/12/18 20:57:36,743A65FFFE4A5506,743A65FFFE4A5506,0,2,0,0,0,0,9
2019/12/18 20:57:37,743A65FFFE4A5506,743A65FFFE4A5506,0,0,0,0,0,0,9
2019/12/18 20:57:50,743A65FFFE4A5548,743A65FFFE4A5548,0,2,1,0,0,0,9
2019/12/18 20:57:51,743A65FFFE4A5548,743A65FFFE4A5548,0,2,0,0,0,0,9
2019/12/18 20:57:53,743A65FFFE4A5548,743A65FFFE4A5548,0,0,0,0,0,0,9
2019/12/18 20:58:41,743A65FFFE4A5512,743A65FFFE4A5512,0,2,1,0,0,0,9
2019/12/18 20:58:41,743A65FFFE4A5512,743A65FFFE4A5512,0,2,0,0,0,0,9
2019/12/18 20:58:42,743A65FFFE4A5512,743A65FFFE4A5512,0,0,0,0,0,0,9
